Date,Facebook_Impressions,Instagram_Impressions,YouTube_Impressions,Facebook_Clicks,Instagram_Clicks,YouTube_Clicks,Facebook_Engagements,Instagram_Engagements,YouTube_Engagements,Facebook_Conversions,Instagram_Conversions,YouTube_Conversions,Facebook_Revenue,Instagram_Revenue,YouTube_Revenue,Demographic_ID,Geo_ID,Region
01-01-22,29527,170394,358595,643,8058,4073,5202,1413,13618,923,240,137,23665.66,47151.7,5559.64,6,105,Central
01-01-22,196046,284326,70642,9076,2023,2379,677,16941,5622,110,340,1344,7097.85,39563.89,12698.26,8,104,West
01-01-22,19173,370688,72852,774,6380,8624,8292,4524,8448,404,1051,28,31986.31,42101.77,721.92,7,105,Central
01-01-22,213040,102433,113886,594,1404,10249,10570,5080,3515,833,432,433,29253.38,2024.91,35695.71,8,103,East
01-01-22,149308,8240,374056,1625,9187,2553,2664,14032,7216,661,811,76,26100.33,51412.93,2158.74,10,105,Central
01-01-22,142101,91645,170826,4043,2483,3633,4884,526,19422,864,1021,104,30923.83,12980.88,19139.29,10,104,West
01-01-22,196675,127987,104163,27,1498,9331,3707,14304,3628,439,633,485,1087.66,42569.48,17486.86,7,105,Central
01-01-22,164489,258053,84376,4087,3186,3766,3145,17063,381,1565,33,156,29373.94,14638.73,17481.33,3,103,East
01-01-22,193001,155203,125907,10825,2380,1560,1694,11894,2192,436,1501,101,8616.9,48786.67,8413.43,9,102,South
01-01-22,140417,18414,336626,200,8687,2149,2750,6921,7862,1204,392,177,1122.61,22978.4,43564.99,10,102,South
01-01-22,154035,259592,46696,1044,12474,1291,4610,9302,6964,282,1039,21,37037.27,34932.77,3348.96,4,103,East
01-01-22,255639,15043,255054,4941,4738,463,9634,3988,1485,360,685,362,10972.91,51738.26,2879.83,10,105,Central
01-01-22,214703,291202,44878,1920,9856,1078,5412,5133,9024,790,92,676,7443.72,9160.64,43746.64,1,105,Central
01-01-22,366072,40344,61915,3736,6982,275,7461,4161,12447,823,767,99,10986.39,60821.31,2870.3,8,104,West
